Team,FG%,3P%,BLK_opponent,MOV,SRS,ORtg,NRtg,TS%,eFG%
Brooklyn Nets,0.493,0.388,4.6,4.42,4.05,118.3,4.4,0.608,0.573
Milwaukee Bucks,0.486,0.392,4.9,6.32,6.18,116.7,6.1,0.593,0.565
Utah Jazz,0.467,0.391,3.9,9.06,9.01,117.5,9.2,0.596,0.563
Los Angeles Clippers,0.482,0.416,4.1,6.03,6.04,117.9,6.2,0.599,0.564
Denver Nuggets,0.488,0.38,4.3,5.36,5.09,117.5,5.4,0.591,0.561
New Orleans Pelicans,0.482,0.351,5.7,0.42,0.33,114.5,0.4,0.576,0.543
Washington Wizards,0.473,0.35,4.8,-2.53,-2.48,110.4,-2.4,0.568,0.53
Atlanta Hawks,0.462,0.37,5.1,1.17,1.27,114.7,1.1,0.576,0.533
Portland Trail Blazers,0.448,0.38,4.8,0.51,0.41,116.8,0.5,0.572,0.534
Minnesota Timberwolves,0.445,0.35,5.7,-6.55,-6.16,108.7,-6.4,0.552,0.517
Golden State Warriors,0.465,0.374,4.5,-0.28,-0.16,110.1,-0.3,0.578,0.546
Indiana Pacers,0.471,0.361,5.3,0.02,-0.04,112.1,0.0,0.573,0.54
Phoenix Suns,0.489,0.373,3.6,6.16,6.15,116.4,6.3,0.594,0.562
Boston Celtics,0.466,0.372,4.6,1.73,1.93,114.0,1.8,0.574,0.542
Sacramento Kings,0.482,0.365,4.6,-4.73,-4.19,114.2,-4.8,0.581,0.551
Philadelphia 76ers,0.476,0.371,4.6,5.35,5.51,112.8,5.3,0.578,0.54
Toronto Raptors,0.45,0.371,5.7,0.36,0.07,112.5,0.4,0.572,0.533
Memphis Grizzlies,0.466,0.356,5.3,0.94,1.18,111.7,1.0,0.559,0.526
Chicago Bulls,0.478,0.365,5.0,-1.61,-1.85,110.9,-1.6,0.576,0.548
Dallas Mavericks,0.47,0.362,3.8,2.1,2.38,115.0,2.2,0.581,0.549
Charlotte Hornets,0.458,0.377,4.7,-1.22,-1.18,111.2,-1.3,0.569,0.538
Los Angeles Lakers,0.474,0.352,4.5,3.13,2.87,109.9,3.1,0.57,0.538
Houston Rockets,0.441,0.335,5.3,-7.39,-7.48,106.3,-7.3,0.549,0.517
San Antonio Spurs,0.462,0.356,5.1,-0.53,-1.11,111.3,-0.5,0.556,0.52
Detroit Pistons,0.45,0.355,6.0,-3.98,-3.78,108.4,-4.0,0.556,0.518
Miami Heat,0.463,0.35,4.1,-0.44,-0.58,109.9,-0.5,0.575,0.538
New York Knicks,0.457,0.387,5.6,2.3,1.93,110.8,2.4,0.558,0.523
Oklahoma City Thunder,0.442,0.342,5.2,-10.06,-9.66,103.5,-9.9,0.542,0.511
Orlando Magic,0.43,0.346,5.3,-8.25,-8.08,105.3,-8.4,0.528,0.492
Cleveland Cavaliers,0.454,0.338,5.5,-7.48,-7.43,106.0,-7.6,0.545,0.512
