Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,opponent_eFG%,opponent_TOV%,DRB%,opponent_FT/FGA
Brooklyn Nets,43.2,87.7,.493,14.1,36.3,.388,29.1,51.4,.567,18.3,22.6,.809,9.1,35.3,44.3,26.9,6.8,5.1,13.7,19.0,118.8,42.0,90.9,.462,13.2,36.0,.366,28.8,54.9,.525,17.1,22.0,.778,10.2,32.5,42.6,24.4,7.7,4.6,12.8,19.0,114.3,43,21,40,24,4.42,-0.37,4.05,118.3,113.9,+4.4,99.6,.258,.414,.608,.573,12.3,21.8,.209,.535,11.3,77.6,.188
Milwaukee Bucks,44.5,91.5,.486,14.5,37.1,.392,30.0,54.4,.550,15.8,20.8,.761,10.2,37.9,48.1,25.6,8.2,4.6,14.0,17.3,119.3,42.0,92.6,.453,14.5,38.7,.375,27.5,54.0,.509,14.5,18.5,.787,9.6,33.8,43.4,25.0,7.1,4.9,13.3,18.2,113.0,39,24,43,20,6.32,-0.14,6.18,116.7,110.6,+6.1,101.9,.228,.405,.593,.565,12.2,23.3,.173,.532,11.6,79.7,.157
Utah Jazz,41.1,88.1,.467,16.9,43.4,.391,24.2,44.8,.541,17.2,21.6,.797,10.5,37.6,48.1,23.8,6.5,5.4,14.1,18.7,116.4,40.9,91.6,.447,10.8,31.9,.340,30.1,59.8,.503,14.7,19.2,.764,10.0,33.1,43.0,22.2,7.6,3.9,11.5,19.2,107.4,46,18,48,16,9.06,-0.06,9.01,117.5,108.3,+9.2,98.6,.245,.492,.596,.563,12.7,24.2,.195,.506,10.3,79.0,.160
Los Angeles Clippers,41.9,87.0,.482,14.4,34.5,.416,27.5,52.4,.525,16.2,19.4,.834,9.5,34.7,44.2,24.3,7.1,4.1,13.0,19.5,114.3,40.1,86.3,.465,11.6,32.4,.360,28.5,53.9,.528,16.4,21.0,.783,9.1,32.2,41.3,22.9,7.1,4.1,12.9,18.2,108.3,43,22,44,21,6.03,0.01,6.04,117.9,111.7,+6.2,97.0,.223,.397,.599,.564,12.0,22.9,.186,.532,11.9,79.1,.190
Denver Nuggets,43.5,89.1,.488,13.0,34.1,.380,30.5,55.0,.554,15.6,19.5,.798,10.5,34.0,44.5,27.0,8.0,4.6,13.5,18.8,115.5,40.3,85.8,.469,12.8,35.4,.362,27.5,50.4,.545,16.8,21.6,.776,9.1,31.9,41.0,26.2,7.6,4.3,14.0,19.2,110.1,43,21,42,22,5.36,-0.27,5.09,117.5,112.1,+5.4,97.0,.219,.382,.591,.561,12.2,24.8,.175,.544,12.8,78.9,.195
New Orleans Pelicans,42.7,88.5,.482,10.7,30.6,.351,32.0,57.9,.552,19.1,26.1,.732,11.6,35.5,47.1,26.2,7.5,4.4,14.7,18.1,115.3,41.7,89.1,.469,14.5,37.9,.382,27.3,51.1,.533,16.9,21.3,.795,9.0,32.3,41.3,25.8,7.8,5.7,13.3,21.4,114.9,29,35,33,31,0.42,-0.10,0.33,114.5,114.1,+0.4,99.7,.295,.346,.576,.543,12.8,26.4,.216,.550,11.9,79.8,.190
Washington Wizards,42.6,90.0,.473,10.2,29.2,.350,32.4,60.8,.533,19.7,25.9,.763,9.6,35.4,44.9,25.0,7.3,3.9,14.7,21.7,115.2,42.8,91.1,.470,12.5,33.6,.372,30.3,57.5,.527,19.6,25.3,.776,10.2,35.7,45.9,24.3,8.4,4.8,14.6,22.0,117.7,29,35,27,37,-2.53,0.05,-2.48,110.4,112.8,-2.4,103.8,.287,.325,.568,.530,12.6,21.1,.219,.538,12.5,77.7,.215
Atlanta Hawks,40.2,87.0,.462,12.4,33.5,.370,27.8,53.5,.520,19.8,24.4,.811,10.7,34.6,45.3,23.8,7.0,4.7,13.4,19.5,112.6,41.2,88.8,.464,11.8,34.0,.347,29.4,54.7,.537,17.2,21.4,.802,10.0,32.8,42.9,24.1,7.7,5.1,12.4,20.0,111.4,35,30,35,30,1.17,0.10,1.27,114.7,113.6,+1.1,97.3,.281,.385,.576,.533,12.1,24.5,.228,.531,11.2,77.5,.193
Portland Trail Blazers,40.9,91.3,.448,15.7,41.4,.380,25.1,49.9,.504,17.7,21.4,.826,10.9,33.6,44.5,20.8,7.0,5.1,11.3,19.1,115.1,42.0,88.1,.477,12.7,34.4,.368,29.3,53.7,.546,17.9,22.9,.780,9.9,35.6,45.5,25.2,6.2,4.8,12.6,18.9,114.6,35,28,32,31,0.51,-0.10,0.41,116.8,116.3,+0.5,98.4,.234,.454,.572,.534,10.1,23.4,.193,.549,11.3,77.2,.203
Minnesota Timberwolves,40.4,90.9,.445,13.0,37.2,.350,27.4,53.7,.511,17.4,22.7,.766,10.3,33.0,43.4,25.4,8.8,5.5,14.4,20.9,111.3,43.0,89.1,.482,13.1,33.5,.392,29.9,55.7,.537,18.7,23.7,.787,10.0,36.0,46.0,26.8,7.7,5.7,15.2,19.7,117.8,20,45,20,45,-6.55,0.39,-6.16,108.7,115.1,-6.4,101.5,.250,.410,.552,.517,12.5,22.3,.191,.556,13.2,76.8,.210
